[2025-07-18 15:21:26] Text: AZA | Lang: ko
[2025-07-18 15:30:51] Text: 아자 | Lang: ko
[2025-07-18 15:31:03] Text: AZA | Lang: en
[2025-07-18 15:31:26] Text: こんにちは | Lang: ja
[2025-07-18 15:31:54] Text: Hola | Lang: es
[2025-07-18 15:32:28] Text: 미들레 | Lang: ko
[2025-07-18 15:34:09] Text: 안녕 난 | Lang: ko
[2025-07-18 15:34:15] Text: 나연울 어룬 | Lang: ko
[2025-07-18 15:40:24] Text: 아자 | Lang: ko
[2025-07-18 15:40:57] Text: こんにちは | Lang: ja
[2025-07-18 15:41:12] Text: こんにちは こんにちは | Lang: ja
[2025-07-18 15:41:23] Text: dfkgrlkd | Lang: en
[2025-07-18 16:41:15] Text: 아자 | Lang: ko
[2025-07-18 16:41:43] Text: こんにちは | Lang: ja
[2025-07-18 16:41:50] Text: こんにちは こんにちは | Lang: ja
[2025-07-18 16:47:17] Text: 아자 | Lang: ko
